polski;portugalski;angielski;group
jabłko;a maçã;apple;food
woda;a água;water;food
kobieta;a mulher;woman;basics
mężczyzna;o homem;man;basics
chłopiec;o menino;boy;basics
dziewczyna;a menina;girl;basics
mleko;o leite;milk;food
chleb;o pão;bread;food
my;nós;we;basics
wy;vocês;you guys;basics
piwo;a cerveja;beer;food
książka;o livro;book;basics
gazeta;o jornal;newspaper;basics
list;a carta;letter;basics
z;com;with;basics
dobry;bom;good;basics
ananas;o abacaxi;pineapple;food
cześć;oi|olá;hi;basics
pa;tchau;bye;basics
tak;sim;yes;basics
przyjemność;o prazer;pleasure;basics
gratulacje;parabéns;congratulations;basics
wieczór;a noite;evening;basics
dzień;o dia;day;basics
popołudnie;a tarde;afternoon;basics
angielski;inglês;English;basics
przepraszam;desculpe;sorry|I'm sorry|I am sorry;basics
portugalski;português;portuguese;basics
gorzki;amargo;bitter;food
sos;o molho;sauce;food
kurczak;o frango;chicken;food
owoc;a fruta;fruit;food
banan;a banana;banana;food
ser;o queijo;cheese;food
ciasto;o bolo;cake;food
puszka;a lata;can;food
butelka;a garrafa;bottle;food
lunch;o almoço;lunch;food
masło;a manteiga;butter;food
marchew;a cenoura;carrot;food
ciastko;o biscoito;cookie;food
filiżanka;a xícara;cup;food
czekolada;o chocolate;chocolate;food
napój;a bebida;drink;food
jajko;o ovo;egg;food
obiad;o jantar;dinner;food
widelec;o garfo;fork;food
dieta;o regime;diet;food
ryba;o peixe;fish;food
sok;o suco;juice;food
smażony;frito;fried;food
głód;a fome;hunger;food
szklanka;o copo;glass;food
winogrono;a uva;grape;food
smażony kurczak;o frango frito;fried chicken;food
kwaśny;azedo;sour;food
tańczyć;dançar;dance;flirting
ogień;o fogo;fire;flirting
to;este;this;flirting
miejsce;o lugar;place;flirting
wolny;vago;free;flirting
dowolny|jakikolwiek|każdy;qualquer;any;flirting
rzecz;a coisa;thing;flirting
ktoś|ktokolwiek;alguém;anyone;flirting
kiedyś|już;já;ever;flirting
ci|jej|jemu|do ciebie|do niej|do niego;lhe;you|her|him;flirting
że|który;que;that;flirting
piękny;lindo;beautiful;flirting
ty|ciebie|do ciebie;te;you|to you;flirting
co|jaki;qual;what|which;flirting
telefon|numer telefonu;o telefone;phone|phone number;flirting
ludzie|my;a gente;people|we;flirting
jeśli|się;se;if|himself|herself;flirting
w;em;in;flirting
jakiś;algum;some;flirting
jakieś miejsce;algum lugar;some place;flirting
wcześniej;antes;before;flirting
taki;tão;so;flirting
ładny;bonito;pretty;flirting
nawet|aż;até;even;flirting
słownik;o dicionário;dictionary;flirting
bez;sem;without;flirting
słowo;a palavra;word;flirting
być;ser|estar;to be;flirting
pić;beber;to drink;basics
pisać;escrever;to write;basics
czytać;ler;to read;basics
lubić;gostar;to like;basics
mówić;falar;to speak;basics
dziękować;obrigar;to thank;basics
znać kogoś;conhecer;to know someone;basics
jeść;comer;to eat;food
gotować się|wrzeć;ferver;to boil;food
gotować coś;cozinhar;to cook;food
mieć;ter;to have;food
ciąć;cortar;to cut;food
iść|zrobić coś;ir;go|let's;flirting
zrobić;fazer;to do;flirting
wziąć|pić;tomar;to take|to drink;flirting
chcieć;querer;to want;flirting
dzwonić;ligar;to call;flirting
spotkać|znaleźć;encontrar;to meet|to find;flirting
widzieć;ver;to see;flirting
być w miejscu|stać;ficar;to stay;flirting
Lubię cię;Eu gosto de você;I like you;phrases
Rozmawiam z tobą;Eu falo com você;I talk to you;phrases
Cześć, to ja;Oi, sou eu;Hi, it's me;phrases
proszę;por favor;please;phrases
Miło cię poznać;Prazer em conhecer você;Nice to meet you;phrases
Wszystko dobrze;Tudo bem;Everything is ok;phrases
Dobranoc|Dobry wieczór;Boa noite;Good night|Good evening;phrases
Dzień dobry;Bom dia;Good morning;phrases
Nie ma za co;De nada;No problem;phrases
Ryba jest na obiad;O jantar é peixe;Fish is for dinner;food
Czy jesteś głodny?;Você tem fome?|Você está com fome?;Are you hungry?;food
Zatańczymy?;Vamos dançar?;Shall we dance?;flirting
dla ciebie;por você;for you;flirting
Jaki jest twój numer telefonu?;Qual é o seu telephone?;What is your phone number?;flirting
klucz;a chave;key;flirting
mucha;a mosca;fly;animals
wino;o vinho;vine;food
ziemniak;a batata;potato;food
insekt;o inseto;insect;animals
sam;sozinho;alone;flirting
przejażdżka|jazda;a carona;ride|lift;flirting
mój;minha;mine;possessives
dom;a casa;home|house;flirting
lub;ou;or;flirting
wyobrażać|marzyć;imaginar;to imagine;flirting
pocałunek|buziak;o beijo;kiss;flirting
jak;como;how|like|as;flirting
towarzystwo;a companhia;company;flirting
szukać;procurar;to look for;flirting
nagi;nu;naked;flirting
być zdolnym do|móc;poder;to be able to|to can;flirting
umrzeć|zginąć;morrer;to die;flirting
szczęśliwy;feliz;happy;flirting
piękno;a beleza;beuty;flirting
tego|tej;desse;of this;flirting
dawać;dar;to give;flirting
łapać|brać;pegar;to catch|to get;flirting
więzienie;a prisão;jail|prison;flirting
wieczny;perpétuo;perpetual;flirting
łańcuch;a cadeia;chain;flirting
zakończyć;acabar;to finish|to end;flirting
pirat;o pirata;pirate;flirting
skarb;o tesouro;treasure;flirting
ale|jednak;mas;but;flirting
właśnie;acabei;just;flirting
danie|posiłek;a refeição;meal;food
lemoniada;a limonada;lemonade;food
jedzenie;a comida|o alimento;food;food
mięso|wołowina;a carne;meat|beef;food
nóż;a faca;knife;food
kuchnia;a cozinha;kitchen;food
cytryna;o limão;lemon|lime;food
wieprzowina|świnia;o porco;pork|pig;food
pieprz;a pimenta;pepper;food
cebula;a cebola;onion;food
talerz;o prato;plate;food
pasta|makaron;a massa;pasta;food
